i, j, d
0, 2084, 0.0373406147398
0, 2085, 0.0324337006169
0, 2086, 0.0450499198816
0, 2087, 0.0330484647417
0, 2088, 0.0326894381616
0, 2089, 0.032771994692
0, 2090, 0.0347815679579
0, 2091, 0.034498371727
0, 2092, 0.0430673657723
0, 2093, 0.0342877729847
0, 2094, 0.0355429410235
0, 2095, 0.0330822874177
0, 2096, 0.0401003128132
0, 2097, 0.0300920618258
0, 2098, 0.0359281497389
0, 2099, 0.0351846380882
0, 2100, 0.0373531723448
0, 2101, 0.0328111070693
0, 2102, 0.0322577612152
0, 2103, 0.044780758841
0, 2104, 0.0417504075414
0, 2105, 0.0366827793898
0, 2106, 0.0342121401341
0, 2107, 0.0383762798375
0, 2108, 0.0361317107904
0, 2109, 0.0384038055321
0, 2110, 0.0349605457796
0, 2111, 0.0333301754672
0, 2112, 0.0352598022743
0, 2113, 0.0381442195279
0, 2114, 0.0330568852146
0, 2115, 0.0352991213183
0, 2116, 0.0375090454265
0, 2117, 0.0322700886766
0, 2118, 0.0344748078936
0, 2119, 0.032730849423
0, 2120, 0.0314609630165
0, 2121, 0.0335949421376
0, 2122, 0.032232775886
0, 2123, 0.0351816607228
0, 2124, 0.0314860296573
0, 2125, 0.0321781974772
0, 2126, 0.034417213688
0, 2127, 0.0370173365384
0, 2128, 0.0389718738373
0, 2129, 0.0396997254097
0, 2130, 0.0369267698827
0, 2131, 0.03447599459
0, 2132, 0.0351340062656
0, 2133, 0.0364469743008
0, 2134, 0.0338580857309
0, 2135, 0.0348673423046
0, 2136, 0.031953181698
0, 2137, 0.0341506681791
0, 2138, 0.0378408600417
0, 2139, 0.032109042201
0, 2140, 0.0304637796002
0, 2141, 0.0330331222182
0, 2142, 0.0360944848912
0, 2143, 0.0330698683005
0, 2144, 0.034048491427
0, 2145, 0.0334407567026
0, 2146, 0.0334027129819
0, 2147, 0.0356780987944
0, 2148, 0.0358824878654
0, 2149, 0.033870571696
0, 2150, 0.0360688497307
0, 2151, 0.0359191019517
0, 2152, 0.0363662332685
0, 2153, 0.03473241445
0, 2154, 0.0372218137768
0, 2155, 0.0392962844808
0, 2156, 0.0468274538464
0, 2157, 0.0384021468943
0, 2158, 0.0495834584595
0, 2159, 0.045786432158
0, 2160, 0.0371098204922
0, 2161, 0.0384281086109
0, 2162, 0.0464874948066
0, 2163, 0.0462128217783
0, 2164, 0.0468023594611
0, 2165, 0.0421766882286
0, 2166, 0.0491974072813
0, 2167, 0.0483791306573
0, 2168, 0.0436651061612
0, 2169, 0.0481170619806
0, 2170, 0.0437042038851
0, 2171, 0.052089910378
0, 2172, 0.0672084853975
0, 2173, 0.0514841071435
0, 2174, 0.0494940152577
0, 2175, 0.0484262358092
0, 2176, 0.046166007001
0, 2177, 0.0549577634153
0, 2178, 0.0448363931685
0, 2179, 0.0414836454805
0, 2180, 0.0558807885904
0, 2181, 0.0653189254082
0, 2182, 0.0470906758565
0, 2183, 0.0521805983017
0, 2184, 0.0594592142812
0, 2185, 0.0475786682735
0, 2186, 0.0553354825663
0, 2187, 0.0488485617757
0, 2188, 0.0470558335882
0, 2189, 0.0715891987111
0, 2190, 0.0541301752149
0, 2191, 0.0566596833785
0, 2192, 0.0624720251275
0, 2193, 0.0553583940366
0, 2194, 0.0595065185594
0, 2195, 0.0549438065841
0, 2196, 0.0619583574239
0, 2197, 0.0584299590799
0, 2198, 0.0515388999408
0, 2199, 0.0559366128479
0, 2200, 0.052701842835
0, 2201, 0.0556573953001
0, 2202, 0.0546984943856
0, 2203, 0.0585549558627
0, 2204, 0.0570628727676
0, 2205, 0.0578433065428
0, 2206, 0.0482787292853
0, 2207, 0.0534763515847
0, 2208, 0.0578440003211
0, 2209, 0.0524038922613
0, 2210, 0.0548628503701
0, 2211, 0.0538620618133
0, 2212, 0.0515632434878
0, 2213, 0.0573008666749
0, 2214, 0.0547036452571
0, 2215, 0.0580157002082
0, 2216, 0.0715844912677
0, 2217, 0.0566421963531
0, 2218, 0.0523808041402
0, 2219, 0.0559489070732
0, 2220, 0.0522288884353
0, 2221, 0.0621912433099
0, 2222, 0.0598452996371
0, 2223, 0.0621912425248
0, 2224, 0.062870272443
0, 2225, 0.0776327414129
0, 2226, 0.0619589467972
0, 2227, 0.0595606332549
0, 2228, 0.073644619711
0, 2229, 0.058542146185
0, 2230, 0.0564443552025
0, 2231, 0.062191243311
0, 2232, 0.0610964849417
0, 2233, 0.062012217719
0, 2234, 0.0615205040054
0, 2235, 0.0629381082807
0, 2236, 0.0363829540065
0, 2237, 0.038219314816
0, 2238, 0.0316057119517
0, 2239, 0.0354958092076
0, 2240, 0.0380788393653
0, 2241, 0.0360401222696
0, 2242, 0.0261899011032
0, 2243, 0.0348749874092
0, 2244, 0.0377760648432
0, 2245, 0.0357003758244
0, 2246, 0.0396130281785
0, 2247, 0.0379215926612
0, 2248, 0.0338853872801
0, 2249, 0.0361775087877
0, 2250, 0.0334149151329
0, 2251, 0.032390470161
0, 2252, 0.0367578072335
0, 2253, 0.0315750299179
0, 2254, 0.0383507178143
0, 2255, 0.0327349611138
0, 2256, 0.0333387086176
0, 2257, 0.0322586039673
0, 2258, 0.0342467170343
0, 2259, 0.0326452171378
0, 2260, 0.0361316768766
0, 2261, 0.0348446559593
0, 2262, 0.035173043244
0, 2263, 0.0340838466009
0, 2264, 0.0344145695622
0, 2265, 0.0372620625536
0, 2266, 0.0404377893853
0, 2267, 0.0341609553701
0, 2268, 0.0347839131457
0, 2269, 0.0356342340831
0, 2270, 0.036002796751
0, 2271, 0.0319683994426
0, 2272, 0.0365298085804
0, 2273, 0.0328125159408
0, 2274, 0.0314088559491
0, 2275, 0.0323330913553
0, 2276, 0.027111599507
0, 2277, 0.0375645234672
0, 2278, 0.0398054218026
0, 2279, 0.0341793266438
0, 2280, 0.0283352905698
0, 2281, 0.0352619727242
0, 2282, 0.0356000074511
0, 2283, 0.032871179959
0, 2284, 0.0337134775941
0, 2285, 0.0387599883874
0, 2286, 0.0367708143498
0, 2287, 0.0317322693546
0, 2288, 0.0342676983057
0, 2289, 0.0335185800105
0, 2290, 0.0333782291234
0, 2291, 0.0351396792149
0, 2292, 0.031629975768
0, 2293, 0.034708301718
0, 2294, 0.0365498412419
0, 2295, 0.0328604861808
0, 2296, 0.0343823654225
0, 2297, 0.0324482772437
0, 2298, 0.0311161187285
0, 2299, 0.0342799860064
0, 2300, 0.0366293447615
0, 2301, 0.0338781017135
0, 2302, 0.0368297330706
0, 2303, 0.0338918632911
0, 2304, 0.0344920122277
0, 2305, 0.0347620215008
0, 2306, 0.0415029988155
0, 2307, 0.027810694287
0, 2308, 0.0354206403339
0, 2309, 0.0347771068814
0, 2310, 0.0319667975595
0, 2311, 0.033378167716
0, 2312, 0.0332405217144
0, 2313, 0.0328741538154
0, 2314, 0.0386690251881
0, 2315, 0.0318319457013
0, 2316, 0.0351654382718
0, 2317, 0.0341915631648
0, 2318, 0.0368006018542
0, 2319, 0.0361092388135
0, 2320, 0.0442019086631
0, 2321, 0.0335728399401
0, 2322, 0.0336217885898
0, 2323, 0.0341244018499
0, 2324, 0.0336973335153
0, 2325, 0.0350235023192
0, 2326, 0.0329174180138
0, 2327, 0.0349026629258
0, 2328, 0.0335356047794
0, 2329, 0.0390639252669
0, 2330, 0.0367291380777
0, 2331, 0.042708542832
0, 2332, 0.0296339240271
0, 2333, 0.0281930784317
0, 2334, 0.0342029208953
0, 2335, 0.0328084680682
0, 2336, 0.0339260592312
0, 2337, 0.0358518141219
0, 2338, 0.0327424062582
0, 2339, 0.0386487528468
0, 2340, 0.0380680967885
0, 2341, 0.0273184865413
0, 2342, 0.0395932350489
0, 2343, 0.0328053429766
0, 2344, 0.034196701341
0, 2345, 0.037177478114
