,rec,idx,x,y,w,h,t0,f0,t1,f1,mux,muy,Sxx,Syy,Sxy,x_max,y_max,Cov,dur,bw,tod,site
4927,sabana_seca1-2008-09-26_12-47.flac,187,8052,169,11,12,42.9516209326,7190.6614786,43.0049637306,8217.89883268,0.0236691375743,7611.05260636,0.000155549732419,45055.7936076,-1.3594572051,0.0160028393937,7750.97276265,0.909090909091,0.0533427979789,1027.23735409,12,1
7470,sabana_seca1-2012-04-24_01-00.flac,107,2529,166,14,18,13.4903936089,6910.50583658,13.5597392462,8498.05447471,0.0293273379176,7673.53441076,7.72513338661e-05,56944.7598561,0.424754424227,0.0266713989894,7657.58754864,0.873303167421,0.0693456373726,1587.54863813,1,1
6064,sabana_seca1-2008-07-20_20-22.flac,441,4761,166,11,14,25.3965061178,7284.04669261,25.4498489157,8498.05447471,0.021546808489,7797.8150317,6.119323617e-05,57911.7985533,0.241929707318,0.0213371191916,7844.35797665,0.961538461538,0.0533427979789,1214.0077821,20,1
15326,sabana_seca1-2012-03-21_18-50.flac,279,5169,163,11,10,27.5728922753,7937.74319066,27.6262350733,8778.21011673,0.0254074160098,8301.39573184,0.000155270360995,54479.9518534,0.141559852759,0.0213371191916,8031.12840467,0.688888888889,0.0533427979789,840.46692607,18,1
24935,sabana_seca1-2013-03-28_02-50.flac,148,4332,167,11,9,23.1081000845,7657.58754864,23.1614428824,8404.6692607,0.026034814194,7904.57547792,0.000141362991986,27002.026004,-0.194732993816,0.0266713989894,7937.74319066,0.925,0.0533427979789,747.081712062,2,1
1596,sabana_seca1-2013-04-20_15-50.flac,83,789,172,8,6,4.20874676054,7470.81712062,4.24608671912,7937.74319066,0.0169410805387,7671.59302216,7.76576372141e-05,15830.18802,-0.350213844269,0.0213371191916,7564.20233463,0.542857142857,0.0373399585852,466.926070039,15,1
8585,sabana_seca1-2013-06-26_04-30.flac,218,2353,165,14,17,12.5515603644,7097.27626459,12.6209060018,8591.43968872,0.0303248095053,7793.88021829,0.000109900471659,76038.387762,0.714803459598,0.0266713989894,8031.12840467,0.899038461538,0.0693456373726,1494.16342412,4,1
11105,sabana_seca1-2008-09-28_18-27.flac,640,2633,172,12,13,14.0451587078,6817.12062257,14.1038357856,7937.74319066,0.030628868978,7540.9253177,7.12425003358e-05,50560.7248426,0.838515080463,0.0320056787873,7750.97276265,0.916666666667,0.0586770777768,1120.62256809,18,1
22314,sabana_seca1-2009-09-25_06-20.flac,280,5756,168,12,12,30.7041145167,7284.04669261,30.7627915944,8311.28404669,0.0236409900538,7659.32134336,0.000196047896744,55669.9483051,0.209026760517,0.0160028393937,7377.43190661,0.677685950413,0.0586770777768,1027.23735409,6,1
23370,sabana_seca1-2009-03-06_08-50.flac,57,5267,172,16,12,28.0956516955,6910.50583658,28.1756658925,7937.74319066,0.0387218561464,7401.246987,0.000404999017214,61461.6123554,0.791539232475,0.048008518181,7377.43190661,0.745454545455,0.0800141969683,1027.23735409,8,1
13213,sabana_seca1-2013-03-30_21-30.flac,527,11089,173,11,11,59.1518286788,6910.50583658,59.2051714768,7844.35797665,0.0242870231275,7281.53145046,7.74949789778e-05,47148.3233047,0.690650781047,0.0213371191916,7284.04669261,0.93,0.0533427979789,933.852140078,21,1
27076,sabana_seca1-2012-04-24_18-50.flac,545,4953,171,11,8,26.4206878389,7377.43190661,26.4740306369,8031.12840467,0.0221296599178,7668.04305541,8.44378373193e-05,31002.4485676,0.188549801937,0.0213371191916,7750.97276265,0.942857142857,0.0533427979789,653.696498054,18,1
17893,sabana_seca1-2010-07-28_14-20.flac,332,7498,168,14,18,39.9964299246,6723.73540856,40.065775562,8311.28404669,0.0265957221314,7420.24325413,4.17408035875e-05,60659.5811095,0.789617573808,0.0266713989894,7564.20233463,0.873303167421,0.0693456373726,1587.54863813,14,1
22299,sabana_seca1-2009-09-25_06-20.flac,265,4642,170,11,11,24.7617268218,7190.6614786,24.8150696198,8124.51361868,0.0256056495184,7589.56115202,0.000190358757927,66091.0834417,0.549756480759,0.0266713989894,7657.58754864,0.64,0.0533427979789,933.852140078,6,1
24932,sabana_seca1-2013-03-28_02-50.flac,145,242,170,10,6,1.29089571109,7657.58754864,1.33890422927,8124.51361868,0.0194992579739,7795.49183975,8.31436919195e-05,18247.4921693,0.317892509529,0.0160028393937,7657.58754864,1.0,0.048008518181,466.926070039,2,1
25540,sabana_seca1-2008-04-01_15-18.flac,163,8207,166,13,16,43.7784343013,7097.27626459,43.8424456589,8498.05447471,0.028318742725,7666.72346398,0.000329808963925,116414.985208,0.370299336582,0.00533427979789,7284.04669261,0.772222222222,0.0640113575747,1400.77821012,15,1
27056,sabana_seca1-2012-04-24_18-50.flac,525,9842,170,11,11,52.4999817708,7190.6614786,52.5533245688,8124.51361868,0.0246218585016,7618.71000222,0.00010462010579,41456.1135766,0.480160086294,0.0266713989894,7657.58754864,0.95,0.0533427979789,933.852140078,18,1
18301,sabana_seca1-2012-11-06_03-20.flac,265,6445,174,10,7,34.3794332974,7190.6614786,34.4274418156,7750.97276265,0.0188099966924,7431.70180078,5.68527966855e-05,17994.8694549,-0.0460082792635,0.0160028393937,7470.81712062,1.0,0.048008518181,560.311284047,3,1
18319,sabana_seca1-2012-11-06_03-20.flac,283,1933,171,10,7,10.3111628493,7470.81712062,10.3591713675,8031.12840467,0.0193931446011,7676.27179365,6.22313499542e-05,23211.1918282,0.166664647104,0.0160028393937,7470.81712062,1.0,0.048008518181,560.311284047,3,1
